Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
BO-115-G2-009-7R-3,-28.96,939.18,,Nemo-2023-BO-2,D11,plant stem tissue,13C,2.96,2031297,700510,H
BO-155-G2-009-8L-5,-29.28,822.23,,Nemo-2023-BO-2,D12,plant stem tissue,13C,2.65,2031298,700511,H
BO-027-G2-009-8R-5,-29.55,646.79,,Nemo-2023-BO-2,E1,plant stem tissue,13C,1.7,2031299,700517,H
BO-118-G1-009-9L-1,-29.31,1398.47,,Nemo-2023-BO-2,E2,plant stem tissue,13C,4.17,2031300,700518,H
BO-070-G1-009-9R-4,-28.85,815.88,,Nemo-2023-BO-2,E3,plant stem tissue,13C,2.67,2031301,700519,H
BO-127-G1-009-10L-4,-28.98,1067.78,,Nemo-2023-BO-2,E4,plant stem tissue,13C,3.21,2031302,700520,H
BO-146-G2-009-11L-1,-28.95,1538.43,,Nemo-2023-BO-2,E5,plant stem tissue,13C,4.49,2031303,700521,H
BO-105-G1-009-12L-5,-30.18,1288.01,,Nemo-2023-BO-2,E6,plant stem tissue,13C,3.93,2031304,700522,H
BO-176-G1-009-17R-3,-27.45,375.22,,Nemo-2023-BO-2,E7,plant stem tissue,13C,1.57,2031305,700523,H
BO-150-G2-009-18L-3,-29.03,726.77,,Nemo-2023-BO-2,E8,plant stem tissue,13C,2.34,2031306,700524,H
BO-125-G2-009-18R-1,-28.84,929.73,,Nemo-2023-BO-2,E9,plant stem tissue,13C,2.97,2031307,700525,H
BO-014-G1-009-19L-5,-30.25,1033.38,,Nemo-2023-BO-2,E10,plant stem tissue,13C,3.09,2031308,700526,H
BO-195-G1-009-20R-3,-28.97,326.26,,Nemo-2023-BO-2,E11,plant stem tissue,13C,1.51,2031309,700527,H
BO-085-G1-009-21R-5,-30.26,662.82,,Nemo-2023-BO-2,E12,plant stem tissue,13C,1.56,2031310,700528,H
BO-186-G1-009-23L-1,-30.37,1574.73,,Nemo-2023-BO-2,F1,plant stem tissue,13C,4.49,2031311,700532,H
BO-052-G1-009-23R-2,-28.64,1435.11,,Nemo-2023-BO-2,F2,plant stem tissue,13C,4.66,2031312,700533,H
BO-106-G1-009-24R-1,-30.97,475.96,,Nemo-2023-BO-2,F3,plant stem tissue,13C,1.89,2031313,700534,H
BO-009-G1-009-25R-5,-28.95,1641.04,,Nemo-2023-BO-2,F4,plant stem tissue,13C,5.38,2031314,700535,H
BO-166-G2-009-27L-5,-28.63,1401.52,,Nemo-2023-BO-2,F5,plant stem tissue,13C,3.99,2031315,700536,H
BO-169-G1-009-27R-2,-28.85,1220.10,,Nemo-2023-BO-2,F6,plant stem tissue,13C,3.87,2031316,700537,H
BO-018-G2-009-30R-4,-29.56,1244.83,,Nemo-2023-BO-2,F7,plant stem tissue,13C,3.55,2031317,700538,H
BO-184-G2-010-2L-3,-27.63,1105.23,,Nemo-2023-BO-2,F8,plant stem tissue,13C,3.54,2031318,700539,H
BO-142-G2-010-2R-5,-30.14,1499.01,,Nemo-2023-BO-2,F9,plant stem tissue,13C,4.73,2031319,700540,H
BO-199-G2-010-3R-3,-29.22,184.48,,Nemo-2023-BO-2,F10,plant stem tissue,13C,0.86,2031320,700541,H
BO-184-G1-010-4R-5,-28.61,1235.56,,Nemo-2023-BO-2,F11,plant stem tissue,13C,4.13,2031321,700542,H
BO-115-G2-010-7L-4,-29.34,1683.08,,Nemo-2023-BO-2,F12,plant stem tissue,13C,5.6,2031322,700543,H
BO-149-G1-010-7R-2,-28.87,311.55,,Nemo-2023-BO-2,G1,plant stem tissue,13C,1.11,2031323,700548,H
BO-142-G1-010-8L-1,-30.78,958.07,,Nemo-2023-BO-2,G2,plant stem tissue,13C,2.66,2031324,700549,H
BO-013-G1-010-8R-4,-30.54,175.25,,Nemo-2023-BO-2,G3,plant stem tissue,13C,0.86,2031325,700550,H
BO-019-G1-010-9L-5,-28.84,254.20,,Nemo-2023-BO-2,G4,plant stem tissue,13C,1.28,2031326,700551,H
BO-089-G2-010-9R-5,-29.34,1468.61,,Nemo-2023-BO-2,G5,plant stem tissue,13C,4.38,2031327,700552,H
BO-008-G1-010-12R-5,-28.95,1334.13,,Nemo-2023-BO-2,G6,plant stem tissue,13C,4.17,2031328,700553,H
BO-060-G1-010-13R-1,-29.98,290.27,,Nemo-2023-BO-2,G7,plant stem tissue,13C,1.38,2031329,700554,H
BO-095-G1-010-14L-4,-30.07,1192.24,,Nemo-2023-BO-2,G8,plant stem tissue,13C,3.71,2031330,700555,H
