,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
9,G1,BO_173,BO_054,5L,,,,,,
9,G1,BO_096,BO_134,5R,1,15.203,144,,1.43,
9,G1,BO_038,BO_082,6L,,,,,,
9,G1,BO_005,BO_176,6R,2,29.601,143,,2.3,
9,G1,BO_170,BO_111,7L,,,,,,
9,G2,BO_065,BO_115,7R,4,17.092,148,,0.99,
9,G2,BO_168,BO_155,8L,4,25.866,139,,1.42,
9,G2,BO_074,BO_027,8R,2,36.041,160,,2.07,
9,G1,BO_074,BO_118,9L,2,58.598,140,,4.83,
9,G1,BO_073,BO_070,9R,4,29.139,165,overlap ,1.73,
9,G1,BO_192,BO_127,10L,4,23.042,160,,1.51,
9,G1,BO_198,BO_159,10R,,,,,,
9,G2,BO_022,BO_146,11L,5,24.343,147,,1.35,
9,G1,BO_151,BO_056,11R,5,63.096,165,,3.12,
9,G1,BO_128,BO_105,12L,3,28.058,156,,1.95,
9,G1,BO_192,BO_127,12R,2,39.575,141,,3.33,
9,G2,BO_101,BO_080,13L,2,72.526,160,,4.36,
9,G2,BO_058,BO_123,13R,1,25.894,148,,1.71,
9,G1,BO_192,BO_021,14L,,,,,,
9,G1,BO_173,BO_091,14R,5,37.389,172,,2.65,
9,G1,BO_162,BO_089,15L,4,15.162,174,,1.07,
9,G1,BO_194,BO_125,15R,,,,,,
9,G1,BO_198,BO_159,16L,,,,,,
9,G1,BO_201,BO_130,16R,5,41.198,148,,2.13,
9,G1,BO_070,BO_066,17L,,,,,,
9,G1,BO_005,BO_176,17R,2,73.202,157,alt method,5.11,
9,G2,BO_187,BO_150,18L,4,17.827,149,,1.08,
9,G2,BO_194,BO_125,18R,3,20.373,169,,1.32,
9,G1,BO_065,BO_014,19L,1,40.731,174,,2.65,
9,G1,BO_106,BO_131,19R,,,,,,
9,G1,BO_109,BO_095,20L,5,94.992,174,,5.57,
