Transect,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter
5,G2,AC_071,AC_215,26L,,,,,,,
5,G1,AC_125,AC_095,26R,3,45.937,141,,2.28,,
5,G2,AC_168,AC_142,27L,3,50.019,120,,3.71,,
5,G2,AC_165,AC_206,27R,,,,,,,
5,G2,AC_169,AC_120,28L,4,48.625,142,,2.88,,
5,G2,AC_179,AC_171,28R,,,,,,,
5,G1,AC_170,AC_185,29L,,,,,,,
5,G1,AC_007,AC_147,29R,,,,,,,
5,G1,AC_107,AC_130,30L,,,,,,,
5,G1,AC_216,AC_058,30R,2,22.507,145,,1.29,,
5,G1,AC_168,AC_159,31L,,,,,,,
5,G2,AC_061,AC_158,31R,,,,,,,
5,G1,AC_186,AC_011,32L,,,,,,,
5,G1,AC_039,AC_168,32R,,,,,,,
5,G1,AC_179,AC_114,33L,,,,,,,
5,G1,AC_124,AC_100,33R,,,,,,,
5,G1,AC_186,AC_153,34L,2,39.953,149,,2.72,,
5,G2,AC_007,AC_081,34R,2,18.482,145,,1.08,,
5,G2,AC_094,AC_216,35L,,,,,,,
5,G2,AC_039,AC_168,35R,,,,,,,
5,G1,AC_064,AC_205,36L,4,46.76,160,,2.46,,
5,G1,AC_216,AC_034,36R,,,,,,,
6,G1,AC_150,AC_083,1L,1,20.295,111,,1.57,,
6,G2,AC_156,AC_016,1R,5,31.654,112,,1.8,,
6,G1,AC_071,AC_115,2L,2,29.08,144,,1.44,,
6,G2,AC_002,AC_160,2R,5,98.673,150,,5.11,,
6,G1,AC_159,AC_094,3L,,,,,,,
6,G1,AC_169,AC_120,3R,1,86.116,151,,5.17,,
6,G1,AC_216,AC_099,4L,5,35.09,156,,1.88,,
6,G1,AC_052,AC_131,4R,3,80.013,158,,4.22,,
6,G2,AC_150,AC_110,5L,1,8.614,144,leaf is blurry,0.58,,
6,G1,AC_097,AC_054,5R,5,81.745,148,,3.81,,
6,G1,AC_002,AC_104,6L,1,31.921,153,,1.66,,
6,G1,AC_179,AC_171,6R,,,,,,,
6,G1,AC_170,AC_185,7L,,,,,,,
6,G1,AC_068,AC_089,7R,,,,,,,
6,G1,AC_007,AC_187,8L,,,,,,,
6,G2,AC_068,AC_195,8R,,,,,,,
6,G2,AC_179,AC_136,9L,1,67.844,163,"alt method, broken leaf",3.81,,
6,G1,AC_102,AC_191,9R,,,,,,,
6,G2,AC_007,AC_187,10L,1,47.703,98,,2.86,,
6,G1,AC_156,AC_016,10R,,,,,,,
6,G1,AC_172,AC_111,11L,,,,,,,
6,G1,AC_125,AC_095,11R,4,38.54,142,,2.38,,
6,G1,AC_177,AC_211,12L,1,,,,,,
6,G1,AC_015,AC_197,12R,,,,,,,
6,G1,AC_107,AC_172,13L,,,,,,,
6,G1,AC_002,AC_122,13R,3,52.129,165,,4.5,,
6,G2,AC_015,AC_197,14L,2,13.538,206,,0.78,,
6,G2,AC_169,AC_120,14R,,,,,,,
6,G2,AC_161,AC_213,15L,4,60.542,159,,4.16,,
6,G1,AC_061,AC_158,15R,,,,,,,
6,G1,AC_094,AC_109,16L,5,27.158,177,,1.44,,
6,G2,AC_064,AC_205,16R,,,,,,,
6,G1,AC_107,AC_172,17L,4,19.539,165,,1.19,,
6,G2,AC_159,AC_143,17R,4,72.26,156,,3.9,,
6,G2,AC_159,AC_094,18L,,,,,,,
6,G1,AC_216,AC_099,18R,5,69.745,161,alt method,4.88,,
6,G2,AC_170,AC_185,19L,,,,,,,
6,G1,AC_198,AC_066,19R,4,56.734,170,,4.12,,
6,G1,AC_107,AC_172,20L,,,,,,,
6,G2,AC_168,AC_142,20R,3,33.496,148,,2.42,,
6,G2,AC_179,AC_171,21L,1,11.743,190,,0.83,,
6,G2,AC_165,AC_199,21R,3,28.949,153,,1.9,,
6,G1,AC_096,AC_074,22L,,,,,,,
6,G1,AC_195,AC_193,22R,5,40.421,146,,3.36,,
6,G2,AC_071,AC_115,23L,3,21.212,151,,1.57,,
