ID	Block	Pop	CrossPop	SurvWin1	ReprS1	TotFr1	Seed1	Samp1	FruitSeed1	FruitSeedcr1	FruitSeedR1	SurvWin2	ReprS2	TotFr2	Seed2	Samp2	FruitSeed2	FruitSeedcr2	FruitSeedR2	SurvWin3	ReprS3	TotFr3	Seed3	Samp3	FruitSeed3	FruitSeedcr3	FruitSeedR3
792	S6	D	DA 	1	1	17	46	3	260.6666667	6.387954775	261	1	1	2	3	2	3	1.44224957	3	1	0	0	0	0	0	0	0
793	S6	D	DB	1	1	5	13	3	21.66666667	2.787815536	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
794	S6	C	CA	1	1	6	18	3	36	3.301927249	36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
796	S6	D	DB	1	1	15	19	3	95	4.562902635	95	1	1	7	9	3	21	2.758924176	21	1	0	0	0	0	0	0	0
797	S6	C	CA	1	1	5	13	3	21.66666667	2.787815536	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
798	S6	D	DA 	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
799	S6	B	B	1	1	7	8	3	18.66666667	2.652704805	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800	S6	B	B	1	1	9	14	3	42	3.476026645	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
801	S6	D	DA 	1	1	36	13	3	156	5.383212612	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
805	S6	D	DA 	1	1	7	48	3	112	4.820284528	112	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
806	S6	D	DB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
807	S6	A	A	1	1	9	15	3	45	3.556893304	45	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
808	S6	D	DB	1	1	9	19	3	57	3.848501131	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
810	S6	D	DA 	1	1	7	17	3	39.66666667	3.410425516	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
811	S7	C 	CB	1	1	3	11	3	11	2.223980091	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
812	S7	C 	CB	1	1	11	28	3	102.6666667	4.682485997	103	1	1	5	16	3	26.66666667	2.987603164	27	1	1	12	19	3	76	4.235823584	76
